SKU,Description,Manufacturer,MPN,Location, Qty
102110898, BeagleV - Fire,,,,
202003659, PCBA; BeagleV-Fire,,,,1
301010000, SMD RES 0R-5%-1/16W;0402,YAGEO,RC0402JR-070RL,"R51,R53,R66,R67,R69,R102,R151,R182,R186,R220,R221,R234,R235,R254,R262,R264,R265,R273",18
301010034, SMD RES 33R-5%-1/16W;0402,YAGEO,RC0402JR-0733RL,"R159,R214",2
301010043, SMD RES 1M-1%-1/16W;0402,YAGEO,RC0402FR-071ML,"R52,R226,R274,R275,R276,R277,R278,R279",8
301010044, SMD RES 1K-1%-1/16W;0402,YAGEO,RC0402FR-071KL,"R15,R17,R49,R94,R95,R110,R111,R112,R113,R114,R115,R116,R120,R122,R123,R124,R125,R126,R127,R128,R129,R130,R131,R132,R133,R134,R135,R136,R137,R282",30
301010047, SMD RES 10K-1%-1/16W;0402,YAGEO,RC0402FR-0710KL,"R2,R12,R13,R14,R16,R22,R23,R24,R25,R26,R27,R28,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R99,R100,R101,R139,R150,R152,R153,R156,R161,R162,R168,R209,R210,R212,R213,R244,R245,R246,R247,R248,R255,R281",44
301010050, SMD RES 510R-5%-1/16W;0402,YAGEO,RC0402JR-07510RL,"R232,R233",2
301010051, SMD RES 51K-1%-1/10W;0402,Panasonic,ERJ-2RKF5102X,R285,1
301010052, SMD RES 22R-1%-1/16W;0402,YAGEO,RC0402FR-0722RL,"R18,R19,R20,R21",4
301010072, SMD RES 20K-1%-1/16W;0402,YAGEO,RC0402FR-0720KL,R117,1
301010081, SMD RES 200K-1%-1/16W;0402,YAGEO,RC0402FR-07200KL,R251,1
301010410, SMD RES 1M-1%-1/4W;1206,YAGEO,RC1206FR-071ML,R32,1
301010444, SMD RES 10R-1%-1/16W;0402,YAGEO,RC0402FR-0710RL,"R72,R73,R74,R75,R76,R77,R143,R144,R147",9
301010456, SMD RES 100K-1%-1/16W;0402,YAGEO,RC0402FR-07100KL,"R138,R227,R252,R253,R283,R284",6
301010457, SMD RES 49.9K-1%-1/16W;0402,YAGEO,RC0402FR-0749K9L,"R1,R4,R5,R6,R7,R8,R9,R10,R11,R71,R88,R92,R93,R96,R97,R103,R140,R141,R154,R171",20
301010524, SMD RES 100R-¡À1%-1/20W;0201,YAGEO,RC0201FR-07100RL,"R266,R267,R268,R269,R270,R271,R272",7
301010525, SMD RES 0R-¡À1%-1/20W;0201,YAGEO,RC0201FR-070RL,"R37,R38,R105,R106,R173,R174",6
301010567, SMD RES 1.5K-1%-1/16W;0402,YAGEO,RC0402FR-071K5L,R219,1
301010633, SMD RES;4.7K-1%-1/16W-0402,YAGEO,RC0402FR-074K7L,"R176,R177,R178,R187,R191,R192,R215,R216,R217,R218,R222,R223",12
301010671, SMD RES 2.7K-1%-1/16W;0402,YAGEO,RC0402FR-072K7L,R280,1
301010738, SMD RES 15K-1/16W-1%;0402,YAGEO,RC0402FR-0715KL,R107,1
301010746, SMD RES 2.2K-1%-1/16W;0402,YAGEO,RC0402FR-072K2L,"R39,R108,R109,R155,R249,R250",6
301010783, SMD RES 82K-1%-1/16W;0402,YAGEO,RC0402FR-0782KL,R148,1
301010856, SMD RES 2.49K-1%-1/16W;0402,YAGEO,RC0402FR-072K49L,"R118,R175",2
301010860, SMD RES 124K-1%-1/16W;0402,YAGEO,RC0402FR-07124KL,R146,1
301010861, SMD RES 8.06K-1%-1/16W;0402,YAGEO,RC0402FR-078K06L,R64,1
301011069, SMD RES 240K-1/16W-1%;0402,YAGEO,RC0402FR-07240KL,R145,1
301011314, SMD RES 432K-1%-1/16W;0402,YAGEO,RC0402FR-07432KL,R121,1
301011474, SMD RES 1.1K-1%-1/16W;0402,YAGEO,RC0402FR-071K1L,R119,1
301011475, SMD RES 240R-1%-1/16W;0402,YAGEO,RC0402FR-07240RL,R3,1
301011477, SMD RES 27R-1%-1/16W;0402,YAGEO,RC0402FR-0727RL,R48,1
301011831, SMD RES 105K-1%-1/16W;0402,YAGEO,RC0402FR-07105KL,R149,1
302010000, SMD CAP Ceramic 33pF-50V-5%-NPO;0402,YAGEO,CC0402JRNPO9BN330,"C27,C210,C214,C220",4
302010004, SMD CAP Ceramic 100nF-16V-10%-X7R;0402,YAGEO,CC0402KRX7R7BB104,"C63,C64,C65,C66,C67,C68,C69,C70,C71,C74,C75,C81,C82,C90,C93,C98,C106,C107,C109,C112,C114,C117,C120,C121,C127,C128,C134,C136,C138,C189,C201,C216,C223,C269,C281,C283,C284,C285,C287,C288,C290,C292,C298,C313,C323,C325",46
302010006, SMD CAP Ceramic 10nF-50V-10%-X7R;0402,YAGEO,CC0402KRX7R9BB103,C209,1
302010010, SMD CAP Ceramic 470pF-50V-10%-X7R;0402,YAGEO,CC0402KRX7R9BB471,C211,1
302010012, SMD CAP Ceramic 100pF-50V-5%-NPO;0402,YAGEO,CC0402JRNPO9BN101,"C207,C208,C226,C327,C328",5
302010016, SMD CAP Ceramic 18pF-50V-5%-NPO;0402,YAGEO,CC0402JRNPO9BN180,"C104,C105,C321,C322",4
302010024, SMD CAP Ceramic 100nF-25V-10%-X7R;0402,YAGEO,CC0402KRX7R8BB104,"C273,C274,C301,C302,C303,C304,C305,C306,C307,C308,C309,C310",12
302010027, SMD CAP Ceramic 27pF-50V-5%-NPO;0402,YAGEO,CC0402JRNPO9BN270,"C95,C96",2
302010039, SMD CAP Ceramic 2.2nF-25V-10%-X7R;0402,YAGEO,CC0402KRX7R8BB222,"C217,C218,C225",3
302010040, SMD CAP Ceramic 1uF-10V-10%-X5R;0402,YAGEO,CC0402KRX5R6BB105,"C77,C110,C111,C196,C197,C198,C199,C202,C215,C224",10
302010054, SMD CAP Ceramic 2.2uF-10V-10%-X7R;0603,YAGEO,CC0603KRX7R6BB225,C115,1
302010103, SMD CAP Ceramic 10uF-10V-10%-X5R;0603,YAGEO,CC0603KRX5R6BB106,"C58,C59,C60,C61,C62,C119,C129,C135,C139,C185,C188,C193,C238,C242,C245,C248,C251,C318,C319,C320",20
302010111, SMD CAP Ceramic 4.7uF-10V-10%-X5R;0603,YAGEO,CC0603KRX5R6BB475,"C72,C73,C280,C282,C289,C291,C324",7
302010146, SMD CAP Ceramic 4.7uF-25V-10%-X5R;0805,YAGEO,CC0805KKX5R8BB475,"C1,C203,C219,C312",4
302010166, SMD CAP Ceramic 47uF-6.3V-20%-X5R;0805,YAGEO,CC0805MKX5R5BB476,"C146,C147,C157,C168,C169,C172,C178,C183,C194,C195,C230,C236,C259",13
302010235, SMD CAP Ceramic 22uF-25V-20%-X5R;0805,YAGEO,CC0805MKX5R8BB226,"C113,C116,C190,C191,C192,C200,C204,C205,C221,C222,C314",11
302010270, SMD CAP Ceramic;1uF-6.3V-¡À20%-X5R;0201,YAGEO,CC0201MRX5R5BB105,"C154,C155,C156",3
302010271, SMD CAP Ceramic 100nF-10V-10%-X5R;0201,YAGEO,CC0201KRX5R6BB104,"C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C85,C86,C87,C88,C132,C133,C144,C145,C151,C152,C153,C167,C171,C176,C177,C180,C184,C187,C206,C228,C229,C234,C235,C237,C239,C240,C241,C243,C244,C246,C247,C249,C250,C252,C257,C258,C260",91
302010389, SMD CAP Ceramic 1nF-16V-10%-X7R;0201,YAGEO,CC0201KRX7R7BB102,"C170,C173,C179,C186,C231,C232,C253",7
302010394, SMD CAP Ceramic 1nF-50V-5%-X7R;0402,YAGEO,CC0402JRX7R9BB102,"C91,C212,C213,C270",4
302010423, SMD CAP Ceramic;47nF-6.3V-10%-X5R;0201,YAGEO,CC0201KRX5R5BB473,"C148,C149,C150",3
302010426, SMD CAP 2.2nF-10V-10%-X7R;0201,YAGEO,CC0201KRX7R6BB222,"C140,C141",2
302010726, SMD CAP Ceramic 3.3nF-25V-10%-X7R;0201,Murata,GRM033R71E332KA12D,C254,1
302010727, SMD CAP Ceramic 4.7nF-10V-10%-X7R;0201,YAGEO,CC0201KRX7R6BB472,"C165,C181,C227,C233,C255",5
302010746, SMD CAP Ceramic;6.8pF-50V-0.25pF-C0G-0402,Murata,GRM1555C1H6R8CA01D,C311,1
302010747, SMD CAP Ceramic 100uF-10V-20%-X5R;1206,TDK,C3216X5R1A107M160AC,C108,1
302011831, SMD CAP Ceramic 10nF-6.3V-10%-X5R;0201,Yageo,CC0201KRX5R5BB103,"C142,C143,C160,C161,C162,C163,C164,C166,C174,C175,C182,C256",12
302011962, SMD CAP Ceramic 1nF-2kV-10%-X7R;1206,YAGEO,CC1206KKX7RDBB102,C83,1
302020469, SMD CAP Tantalum 330uF-2.5V;B,KEMET,T520B337M2R5ATE070,"C158,C159",2
303010128, SMD Inductor 2.2uH-20%-1.3A;2P-2520,Murata,LQM2HPN2R2MG0L,L5,1
303010172, SMD Innductor 0.47uH-20%;L2.0*W1.6*H1.0mm,Sunlord,WPN201610MR47MT,"L2,L3,L4",3
303011528, SMD Power Inductor 0.56uH-20%-9.3A;2P-4.4*4.4*1.9MM,CODACA,CSHB0421-R56M,L1,1
303011879, SMD Inductor 1.0uH-20%-7A;L4.2*W4.4*H2.0mm,Sunlord,MWSA0402S-1R0MT,L6,1
303030040, SMD Ferrite Bead 120R-1.3A;0402,Murata,BLM15PD121SN1D,"FB3,FB4",2
304011072, SMD Diode Schottky 30V-200mA;SOD-523,LRC,LRB520S-30T1G,"D15,D16,D17",3
304050002, SMD Diode TVS 5V-600W;DO-214AA,ST,SMBJ5.0CA-TR,D8,1
304051161, SMD Diode TVS 24VWM 29.5V;SMB,Brightking,SMBJ24CA(Brightking),D25,1
304060074, SMD Diode ESD 0.05pF;0402,SEMITEL,ESDPSA0402V05,"D3,D4,D5,D6,D7,D9,D10,D11,D12,D13,D14,D18,D19",13
304060294, SMD Diode Array ESD;4 Channel,TI,TPD4E05U06DQAR,"D1,D2",2
304090075, SMD LED Clear-Blue;0402,Bright,BL-HB337A-AV-TRB,"LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14",12
304090121, SMD LED Clear-Green;0402,Bright,BL-HGE37A-AV-TRB,LED1,1
305020002, SMD Transistors PNP 40V-200mA;SOT-23,ON,MMBT3906LT3G,Q30,1
305030659, SMD MOSFET N-CH 20V -630MA £»SOT-523,Diodes,DMG1012T-7,"Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q19,Q20,Q24,Q25,Q27,Q28",20
305031179, SMD MOSFET P-CH 30V-12A;HSMT8,Rohm,RQ3E120ATTB,"Q1,Q17,Q29,Q31",4
305050191, SMD Transistor Array 2PNP 45V-0.1A;SOT36,Diodes Incorporated,BCM857BS-7-F,"Q18,Q2",2
306011049, SMD Crystal;25MHz-18pF-20ppm;SMD-2520-4P-L2.5*W2.0*H0.6mm,Interquip,5ZAA25000182TFA0Q3,X1,1
306011142, SMD Crystal 27MHZ-12PF-30ppm;4P-L2.5*W2.0*H0.6mm,Interquip,5ZAA27000121TF60Q3,X2,1
306011268, SMD Crystal 25MHz-12pF-10ppm-30ppm-50R;4P-SMD-L3.2*W2.5*H0.8mm,Interquip,5YAA25000121TF50Q3,X3,1
306020621, SMD Oscillator;32.768KHz-3.3V-30ppm;SMD-2520-4P-L2.5*W2.0*H0.95mm,Interquip,1651-L3273-BTBQYA,OSC1,1
306020701, SMD Oscillator;125MHz-10ppm-6P-3.2*2.5mm,Microchip,DSC1123CI5-125.0000,U7,1
310011580, SMD IC PHY;10/100/1000 Ethernet Physical Layer Transceiver With RGMIII and SGMII;QFN-48,Realtek,RTL8211FS-CG,U28,1
310030211, SMD IC PMIC;MSOP-8,TI,TPS2051BDGNR,U10,1
310031388," SMD IC PMIC;	 IC VREF SHUNT ADJ;SOT23-3",TI,ATL431AIDBZR,U39,1
310031449, SMD IC PMIC;SOT23-5,TI,TLV62569DBVT,U36,1
310032350, SMD IC PMIC;10A-QFN-32,Microchip,MIC22950YML-TR,U13,1
310032351, SMD IC PMIC LDO-3.3V-150mA;SOT-23A,Microchip,MCP1754ST-3302E/CB,U16,1
310032353, SMD IC PMIC;3A-DFN-12,Microchip,MIC23303YML-TR,"U18,U19,U20",3
310032372, SMD IC PMIC LDO-ADJ-500mA;DFN-8 (2x3mm),Microchip,MCP1725T-ADJE/MC,U17,1
310050078, SMD IC Logic;US8(8-VFSOP,TI,SN74LVC2G241DCUR,U21,1
310051370, SMD IC Logic;4-Bit Bidirectional Voltage-Level Translator;DSBGA-12,Union Semiconductor,UM3304,"U30,U31,U32,U33,U34,U35",6
310071169, SMD IC Interface;QFN-32,Microchip,USB3340-EZK-TR,U8,1
310071170, SMD IC Controller;X2QFN12,NXP,PTN5150AHXMP,U9,1
310091085, SMD IC Memory;16GB eMMC 5.1;VFBGA-153,Kingston,EMMC16G-TB29-PZ90,U3,1
310091104, SMD IC Memory;SOIC-8,Winbond,W25Q128JVSIQ,U4,1
310091347, SMD IC Memory;32Kb-IIC Serial EEPROM;SOT23-5,FMD,FT24C32A-ELRT,U22,1
310091407, SMD IC Memory;LPDDR4 2GB(16bits x 2 channels) 1866MHz 3733Mbps;FBGA-200 (10X15),Samsung,K4F6E3S4HM-MGCJ,U2,1
310100567, SMD IC ADC 16-BIT SPI;UQFN-20,Microchip,MCP3464RT-E/NC,U11,1
310110523, SMD IC Clock;PCI-Express Gen 2 Dual Output 100MHz Clock Generator;TDFN-10,Skyworks,Si52112-B3-GM2,U38,1
310990589, SMD IC REG LINEAR 2.5V 300MA;SOT23-5,Microchip,MIC5504-2.5YM5-TR,U14,1
310991057, SMD IC FPGA SoC;FCVG-484,Microchip,MPFS025T-FCVG484E,U1,1
311020518, SMD Top Button 1.57N;4P-L4.6*W3.2*H2.5mm,ALPS,SKRPABE010,"SW1,SW2",2
319015079, PCB;BeagleV-Fire Rev A-Red-12 Layers,,,,1
320010943, SMD USB Type-c;12P+4-8.9*7.3*3.2mm,MTCONN,UBF31-0171,J5,1
320020078, DIP Black Male Header VERT;1*6P-2.54-2.5-11.5/3.0mm,Sinotop,ST-PH-254-0087-1*6P-6T,J6,1
320030424, DIP Black Female Header;2*23P-2.54*8.5-3.0mm,Sinotop,FF-1236,"P8,P9",2
320060764, SMD FPC CONN;22P-0.5mm-90D-Bottom Contact-L15.40*W5.25*H2.00mm,BEST,0.5K-DX-22PWB,J7,1
320090416, SMD SD Card Holder;Reverse-Bottom,YU LIANG,YL004-030-001,J2,1
320111630, SMD Connector Black m.2 E-key;67P-0.5mm,FOXCONN,AS0BC27-S40BE-7H,J9,1
320111970, DIP Female Screw Terminal;2P-3.5mm-Black,Sinotop,STP128-350-2P,J1,1
320140517, DIP RJ45;1000M,LINK-PP,LPJG0933H11NL,J4,1
320210541, SMD BTB Female CONN;With High Speed Differential Pair and 2*20P+2P-0.5mm;L21.27*W7.49*H3.25mm,Samtec,QSH-020-01-F-D-DP-A-K-TR,J8,1
326050927, SMD Stud;M2Í­Öù,FOXCONN,2E0BC21-A40TP-7H,MH4,1
